玲珑湾花园, 江山国际广场北
颐景华庭, 暂无信息
雨露小区, 珠江路1003
雅兰国际花园, 雅兰国际花园
长江佳苑, 长江路中州路东300米
中通名士家园, 宿豫区
长江润发, 香江大道
政苑小区, 城北
支口商业街, 暂无信息
中豪新城, 富康路，霸王举鼎
钟吾初中校区宿舍, 幸福路
泽达学院C座, 泽达学院，C座
张油坊民房, 张油坊民房
中港雅典城贴钱卖, 海事大厦
珠江花园三台空调, 珠江路
中央商场, 淮海路
中豪国际新城, 靠近霸王举鼎
左岸华庭, 城中心
中豪星城二期, 复康路
中华家园, 柴沂南路
中通名士嘉园, 中通名士嘉园
中豪星城三期, 发展大道
中央广场, 新街口
钻石公寓, 宿豫区
中央广场单身公寓, 城东学府路
纵观天下, 北京南路老110前面
中央商城, 淮海路上
中通名仕家园, 中通名仕家园
紫馨花园, 紫馨花园
中豪星城, 宿迁市宿城区威海路北侧
中华广场, 人民路
紫藤花园, 宿迁市沭阳县
中豪花园, 义乌商贸城北
浙江商城, 迎宾大道
政园小区, 城北虞姬公园
珠江花园, 珠江花园
紫荆花园, 森林公园附近
中华商城, 中华商城
泽园太阳城, 桃源北路
中通名仕嘉园, 宿豫区中医院对面
中港雅典城, 中港雅典城三室出售
中豪国际花园, 义务商贸城北
众大上海城, 一号桥东首
中豪国际星城, 霸王举鼎南
阳光巴黎城, 艾米电影城
阳光名都, 江山大道
颖都家园, 大润发
豫江大厦, 豫江大厦
御景山庄, 珠江路1065
御庭世纪, 义务商贸城
怡景名苑, 怡景名苑
阳光华城, 临近文体馆
阳光名邸, 桃园北路与北京路交叉
新江南, 临安路
西湖上城, 西湖路388号（市客运总站西侧）
星宇小区, 桃园南路
银河花园, 宿迁市宿城区成子湖路9号（宿城区政府东侧）
香格里拉花园, 义乌商贸城
新港湾, 泗阳淮海中路
学府雅苑, 宿城新区洪泽湖西路
项王三期, 文体馆正南
兴鸿一品, 文体馆北
新宿中花园, 新宿中目光关乎
文化新村, 文化新村
希望城, 位居古黄河之畔。
文城新都, 桃园北路
维多利亚花园, 幸福北路（军人疗养院对面）
万城国际广场, 车站南面
万城御景园, 文成路
万诚御景园, 文成路
文昌花园, 黄山路
万豪新城, 宿豫实验小学后面
万诚国际广场, 淮海东路
未来城, 文成路
通和桂圆, 宿城新区
桃李苑, 桃李苑
天成佳园, 城北市场边上
通成山庄, 清华学校边上
天星花园, 工人医院南20米九鼎公园旁
桃园小区, 桃园小区
通城山庄, 浦东路
天下景城, 沭阳大润发
圣地名门, 电视塔附近
苏豪银座, 渔市口路与中山路交汇处
泗阳金色家园, 金色家园
盛源华庭, 浙江商城边上
上海城, 黄运中路
宿豫商贸城, 宿豫商贸城
盛世嘉园, 桃源路
宿豫区浦东国际花园, 宿豫区
世纪华庭, 桃源路
润园小区, 黄河分校旁边
人武小区, 城北片
瑞景名都, 人民大道与苏州路交汇处，世界之窗主题公园旁
仁恒家园, 马陵河路
汽配城, 淮海东路
如意园, 如意园
仁恒公寓, 仁恒公寓
清华花苑, 清华学校边上
清华花园, 义乌商贸城对面
青华花苑, 钟吾医院对面
青华园, 钟吾医院西
浦东国际, 临安西路
鹏润花园格林上郡, 雪枫公园旁
清华园, 浦东路
浦东国际一二层商铺, 浦东国际
欧洲城, 第二实验小学对面
欧洲花园, 经济开发区富康大道以东、厦门路以北
南关小学, 南关小学
南关小学住宅楼, 南关小学
南关医院, 证齐不满五年，价格低。急便宜卖／急用钱／位置好，价格低，快来
南京路两层商铺, 南京东路路南
南岸丽景, 南岸丽景
宁浦冠城, 宿迁市沭阳县
南苑小区, 广州路
南京路小区, 南京路
马陵小区北关园区, 马陵小区，北关园区
名品虞姬城, 城北女人街北
美好家园, 宿迁市沭阳县
名都水景, 名都水景
名河雅居, 宿豫区金沙江路
名人国际, 高宝湖路9
明珠公寓, 宿城区经济开发区南区华夏大道
凯林瑞, 楚街南门向西200米
凯琳瑞巴黎都市, 宿城区
康桥丽湾, 开发区
康堡小区, 宿城新区
康庭茗苑, 洪泽湖西路
康庭名苑, 康庭名苑
巨源尚城, 淮海东路
金外滩国际花园, 一号桥
金田湖畔, 金田湖畔
金色水岸, 大连路新天地商业广场1-w28附近
金港花园, 市府东路52
锦都豪庭, 老泗中北侧
江山国际花园, 江山国际花园
金康华府, 桃园北路
金陵名府, 发展大道69-44
锦华名园, 绍山路1号
海天翡翠成, 海天翡翠成
恒大华府, 宿迁市宿城区发展大道与八一西路交汇处
瀚学苑, 文成路南 高档成熟小区
皇冠公寓, 皇冠公寓
黄河上院, 发展大道与八一西路交汇处
河滨新村, 宿城区洪泽湖路河滨新村旁边(常熟缘宾馆隔壁)
鸿意上城, 宿迁市世纪大道与徐淮路交汇处239号
恒佳花园, 恒佳花园
恒隆广场, 紫阳大道
海天小区, 海天小区
公园路, 公园路西
公园路小区, 公园路小区
国大佳苑, 双庄东边
光明花园, 中原路与金堤路交叉口
果园新村, 临安路
格林世家, 格林世家
国大名苑, 霸王举鼎以南长途汽车站以东
国泰广场, 国泰广场
格林上郡, 雪峰公园旁
富康花苑, 富康花苑
凤凰国际城, 凤凰国际城
富丽莱嘉苑, 洞庭湖路199号
公园一号, 饮马堤路东侧
富康花园, 楚街附近
富豪御景城, 商贸城
府院小区, 府院小区
翡翠城, 北京中路
丰泰嘉园, 淮海路
富豪花园, 发展大道
二里坝小区, 城中．．
府苑小区, 宿迁市泗洪县
二院花园小区, 如东中学边上
德华逸墅, 新人武部东侧
鼎创新天地, 宿豫区珠江菜场北
大顺公寓, 车站西侧
东亚嘉苑马赛公馆, 义乌商贸城
东方花园, 东方花园
东城美域, 宿豫江山大道
东方明珠城, 迎宾大道
东方名苑, 长春路
东城水岸, 暂无信息
朝晖公寓, 江山大酒店对面
春风沂水, 东关口
东方现代城, 桃园北路与北京路交叉
城市花园, 宿豫五岔路口
城北花园, 北京路
财富广场, 慢子口
城市枫林, 城市枫林
宝龙国际花园, 楚街南门
城宇广场, 城宇广场
巴黎新城单身公寓, 交通银行
城东花园, 城东花园
城中花园, 城中花园38万红星路济安桥咯交接处
城宇大厦, 城宇大厦
宝龙·龙公馆, 宝龙·龙公馆
宝龙单身公寓, 富康路
滨河花园, 运河风光带
巴黎花园, 巴黎花园
巴黎新城, 沭阳交通银行东侧
宝龙龙公馆, 宝龙龙公馆
宝龙城市城市花园, 宝龙广场
滨江花园, 滨江国际花园位于宿迁市老城区、运河1
奥体文景苑, 奥体文景苑
奥运都城, 虞姬公园边上
爱园路小套, 爱园路上
安泰家园, 安泰家园
